Site,Good,Bad,Completion,Bad Tags
81 amber/pad;AMBER_WEL_JF,49,11,Needs work,AMBER_WEL_JF/AirCompressor_1/AIR_CURRENT_DAY(98.6:9);AMBER_WEL_JF/AirCompressor_1/AIR_PREVIOUS_DAY(98.7:9);AMBER_WEL_JF/AirCompressor_1/MINUTES_ON_TODAY(71.7:0);AMBER_WEL_JF/AirCompressor_1/RATE(98.1:9);AMBER_WEL_JF/AirCompressor_1/SITE_PWR_STATUS(101.3:117);AMBER_WEL_JF/TankWater_1/TEMPERATURE(98.3:20);AMBER_WEL_JF/TankWater_1/VOLUME_TOTAL(196.32:0);AMBER_WEL_JF/TankWater_2/TEMPERATURE(98.3:21);AMBER_WEL_JF/TankWater_2/VOLUME_TOTAL(196.32:1);AMBER_WEL_JF/PadIO_1/PRESSURE_SALES(103.21:74);AMBER_WEL_JF/PadIO_1/STATUS_BYPASS(71.43:30)
81 amber/wells/well_1;AMBER_NW_WEL_JF_1H,55,16,Needs work,AMBER_NW_WEL_JF_1H/Lineheater_1/PERCENTAGE_MANUAL_SETPOINT(104.14:112);AMBER_NW_WEL_JF_1H/Lineheater_1/PRESSURE_FLOWLINE(85.220:40);AMBER_NW_WEL_JF_1H/Lineheater_1/SETPOINT_BMS_HIGH(98.18:21);AMBER_NW_WEL_JF_1H/Lineheater_1/SETPOINT_BMS_LOW(98.19:21);AMBER_NW_WEL_JF_1H/Lineheater_1/STATUS_BMS_PERMISSIVE(102.24:138);AMBER_NW_WEL_JF_1H/Lineheater_1/STATUS_BURNER(101.3:128);AMBER_NW_WEL_JF_1H/Lineheater_1/TEMPERATURE_BATH(98.2:10);AMBER_NW_WEL_JF_1H/Lineheater_1/TEMPERATURE_FLOWLINE(108.50:32);AMBER_NW_WEL_JF_1H/MeterGas_2/AVERAGE_PREVIOUS_DAY_TEMPERATURE(126.6:4);AMBER_NW_WEL_JF_1H/MeterGas_2/SPECIFIC_GRAVITY(112.23:1);AMBER_NW_WEL_JF_1H/WellIO_1/DENSITY(98.3:0);AMBER_NW_WEL_JF_1H/WellIO_1/DRIVE_GAIN(98.4:0);AMBER_NW_WEL_JF_1H/WellIO_1/RATE_COROLIS(98.1:0);AMBER_NW_WEL_JF_1H/WellIO_1/TOTAL_ACCUMULATED(98.10:0);AMBER_NW_WEL_JF_1H/WellIO_1/TOTAL_MONTH(98.8:0);AMBER_NW_WEL_JF_1H/WellIO_1/TOTAL_PREVIOUS_MONTH(98.9:0)
81 amber/wells/well_2;AMBER_SW_WEL_JF_2H,56,19,Needs work,AMBER_SW_WEL_JF_2H/Lineheater_1/PERCENTAGE_MANUAL_SETPOINT(104.14:113);AMBER_SW_WEL_JF_2H/Lineheater_1/PRESSURE_FLOWLINE(85.220:41);AMBER_SW_WEL_JF_2H/Lineheater_1/SETPOINT_BMS_HIGH(98.18:22);AMBER_SW_WEL_JF_2H/Lineheater_1/SETPOINT_BMS_LOW(98.19:22);AMBER_SW_WEL_JF_2H/Lineheater_1/STATUS_BMS_PERMISSIVE(102.24:139);AMBER_SW_WEL_JF_2H/Lineheater_1/STATUS_BURNER(101.3:129);AMBER_SW_WEL_JF_2H/Lineheater_1/TEMPERATURE_BATH(98.2:11);AMBER_SW_WEL_JF_2H/Lineheater_1/TEMPERATURE_FLOWLINE(108.50:33);AMBER_SW_WEL_JF_2H/MeterGas_1/AVERAGE_PREVIOUS_DAY_TEMPERATURE(126.6:4);AMBER_SW_WEL_JF_2H/MeterGas_1/SPECIFIC_GRAVITY(112.23:1);AMBER_SW_WEL_JF_2H/MeterGas_2/AVERAGE_PREVIOUS_DAY_TEMPERATURE(126.6:4);AMBER_SW_WEL_JF_2H/MeterGas_2/SPECIFIC_GRAVITY(112.23:1);AMBER_SW_WEL_JF_2H/WellIO_1/DENSITY(98.3:1);AMBER_SW_WEL_JF_2H/WellIO_1/DRIVE_GAIN(98.4:1);AMBER_SW_WEL_JF_2H/WellIO_1/RATE_COROLIS(98.1:1);AMBER_SW_WEL_JF_2H/WellIO_1/SETPOINT_FLOWRATE_CASING(74.19:5);AMBER_SW_WEL_JF_2H/WellIO_1/TOTAL_ACCUMULATED(98.10:1);AMBER_SW_WEL_JF_2H/WellIO_1/TOTAL_MONTH(98.8:1);AMBER_SW_WEL_JF_2H/WellIO_1/TOTAL_PREVIOUS_MONTH(98.9:1)
81 amber/wells/well_3;AMBER_NE_WEL_JF_3H,53,18,Needs work,AMBER_NE_WEL_JF_3H/Lineheater_1/PERCENTAGE_CURRENT(103.21:90);AMBER_NE_WEL_JF_3H/Lineheater_1/PERCENTAGE_MANUAL_SETPOINT(104.14:114);AMBER_NE_WEL_JF_3H/Lineheater_1/PRESSURE_FLOWLINE(85.220:42);AMBER_NE_WEL_JF_3H/Lineheater_1/STATUS_BMS_PERMISSIVE(102.24:140);AMBER_NE_WEL_JF_3H/Lineheater_1/STATUS_BURNER(101.3:130);AMBER_NE_WEL_JF_3H/Lineheater_1/TEMPERATURE_BATH(98.2:12);AMBER_NE_WEL_JF_3H/Lineheater_1/TEMPERATURE_FLOWLINE(108.50:34);AMBER_NE_WEL_JF_3H/MeterGas_1/AVERAGE_PREVIOUS_DAY_PRESSURE_STATIC(126.6:4);AMBER_NE_WEL_JF_3H/MeterGas_1/AVERAGE_PREVIOUS_DAY_TEMPERATURE(126.6:5);AMBER_NE_WEL_JF_3H/MeterGas_2/AVERAGE_PREVIOUS_DAY_TEMPERATURE(126.6:4);AMBER_NE_WEL_JF_3H/MeterGas_2/SPECIFIC_GRAVITY(112.23:1);AMBER_NE_WEL_JF_3H/WellIO_1/DENSITY(98.3:2);AMBER_NE_WEL_JF_3H/WellIO_1/DRIVE_GAIN(98.4:2);AMBER_NE_WEL_JF_3H/WellIO_1/RATE_COROLIS(98.1:2);AMBER_NE_WEL_JF_3H/WellIO_1/SETPOINT_FLOWRATE_CASING(74.19:6);AMBER_NE_WEL_JF_3H/WellIO_1/TOTAL_ACCUMULATED(98.10:2);AMBER_NE_WEL_JF_3H/WellIO_1/TOTAL_MONTH(98.8:2);AMBER_NE_WEL_JF_3H/WellIO_1/TOTAL_PREVIOUS_MONTH(98.9:2)
81 amber/wells/well_4;AMBER_SE_WEL_JF_4H,53,19,Needs work,AMBER_SE_WEL_JF_4H/Lineheater_1/PERCENTAGE_MANUAL_SETPOINT(104.14:115);AMBER_SE_WEL_JF_4H/Lineheater_1/PRESSURE_FLOWLINE(85.220:43);AMBER_SE_WEL_JF_4H/Lineheater_1/STATUS_BMS_PERMISSIVE(102.24:141);AMBER_SE_WEL_JF_4H/Lineheater_1/STATUS_BURNER(101.3:131);AMBER_SE_WEL_JF_4H/Lineheater_1/TEMPERATURE_BATH(98.2:13);AMBER_SE_WEL_JF_4H/Lineheater_1/TEMPERATURE_FLOWLINE(108.50:35);AMBER_SE_WEL_JF_4H/MeterGas_1/AVERAGE_PREVIOUS_DAY_PRESSURE_DP(126.6:4);AMBER_SE_WEL_JF_4H/MeterGas_1/AVERAGE_PREVIOUS_DAY_PRESSURE_STATIC(126.6:5);AMBER_SE_WEL_JF_4H/MeterGas_1/AVERAGE_PREVIOUS_DAY_TEMPERATURE(126.6:6);AMBER_SE_WEL_JF_4H/MeterGas_2/AVERAGE_PREVIOUS_DAY_TEMPERATURE(126.6:4);AMBER_SE_WEL_JF_4H/MeterGas_2/SPECIFIC_GRAVITY(112.23:1);AMBER_SE_WEL_JF_4H/WellIO_1/DENSITY(98.3:3);AMBER_SE_WEL_JF_4H/WellIO_1/DRIVE_GAIN(98.4:3);AMBER_SE_WEL_JF_4H/WellIO_1/RATE_COROLIS(98.1:3);AMBER_SE_WEL_JF_4H/WellIO_1/SETPOINT_FLOWRATE_B(74.19:5);AMBER_SE_WEL_JF_4H/WellIO_1/SETPOINT_FLOWRATE_CASING(74.19:7);AMBER_SE_WEL_JF_4H/WellIO_1/TOTAL_ACCUMULATED(98.10:3);AMBER_SE_WEL_JF_4H/WellIO_1/TOTAL_MONTH(98.8:3);AMBER_SE_WEL_JF_4H/WellIO_1/TOTAL_PREVIOUS_MONTH(98.9:3)
81 archer_a/pad;ABLE_ARC_HR,68,8,Needs work,ABLE_ARC_HR_5H/WellIO_1/FLOW_PREVIOUS_DAY(WELL3_TEST_FYDAY);ABLE_ARC_HR_5H/WellIO_1/FLOW_RATE(WELL3_TEST_FTDAY);ABLE_ARC_HR_5H/WellIO_1/WELL_FLOW_CLOSE(ZSC_0036);ABLE_ARC_HR_5H/WellIO_1/WELL_FLOW_OPEN(ZSC_0035);ABLE_ARC_HR_7H/WellIO_1/FLOW_PREVIOUS_DAY(WELL4_TEST_FYDAY);ABLE_ARC_HR_7H/WellIO_1/FLOW_RATE(WELL4_TEST_FTDAY);ABLE_ARC_HR_7H/WellIO_1/WELL_FLOW_CLOSE(ZSC_0038);ABLE_ARC_HR_7H/WellIO_1/WELL_FLOW_OPEN(ZSC_0037)
81 archer_a/wells/well_1;ABLE_ARC_HR_1H,11,0,Perfect!,
81 archer_a/wells/well_2;ABLE_ARC_HR_3H,11,0,Perfect!,
81 archer_a/wells/well_3;ABLE_ARC_HR_5H,7,4,Close,ABLE_ARC_HR_5H/WellIO_1/FLOW_PREVIOUS_DAY(WELL3_TEST_FYDAY);ABLE_ARC_HR_5H/WellIO_1/FLOW_RATE(WELL3_TEST_FTDAY);ABLE_ARC_HR_5H/WellIO_1/WELL_FLOW_CLOSE(ZSC_0036);ABLE_ARC_HR_5H/WellIO_1/WELL_FLOW_OPEN(ZSC_0035)
81 archer_a/wells/well_4;ABLE_ARC_HR_7H,7,4,Close,ABLE_ARC_HR_7H/WellIO_1/FLOW_PREVIOUS_DAY(WELL4_TEST_FYDAY);ABLE_ARC_HR_7H/WellIO_1/FLOW_RATE(WELL4_TEST_FTDAY);ABLE_ARC_HR_7H/WellIO_1/WELL_FLOW_CLOSE(ZSC_0038);ABLE_ARC_HR_7H/WellIO_1/WELL_FLOW_OPEN(ZSC_0037)
